Episode,Reward,CPU_Level,Agent_Stock,CPU_Stock,Actor_Loss,Critic_Loss,Entropy
1,-41.057312,9,0,4,-0.017776298569515347,11.613712189719081,1.8737404942512512
2,-44.82626,9,0,4,0.0013819119582573574,15.288236742218336,1.8619060118993123
3,-44.10602,9,0,4,0.016258918015020236,9.06736580814634,1.8461745296205794
4,-39.83576,9,0,4,-0.013498464017175138,6.110341116786003,1.793443813920021
5,-36.791897,9,0,3,-0.06571621424518526,6.070456750690937,1.7331042289733887
6,-34.334652,9,0,3,-0.02095696097239852,4.181556086987257,1.6115417629480362
7,-43.791832,9,0,4,0.011463081619391838,5.9707130044698715,1.6187271475791931
8,-47.290203,9,0,4,-0.0335563201457262,11.12821392416954,1.66150906085968
9,-39.420456,9,0,4,-0.02238638317794539,5.553537145256996,1.6181213855743408
10,-39.305653,9,0,3,-0.08135737452123847,6.0114564044134955,1.6207027265003748
11,-32.145283,9,0,3,-0.059044428169727325,1.4086147157045512,1.5707648258942823
12,-43.440403,9,0,4,-0.050971382111310956,11.423754918575288,1.4280746698379516
13,-42.611263,9,0,4,0.00553679745644331,4.586849262317021,1.4396910667419434
14,-41.80564,9,0,4,-0.014868475835431706,2.1453957666050303,1.4814580137079412
15,-36.333412,9,0,3,-0.03396616534640392,6.326091418663661,1.449962894121806
16,-26.971268,9,0,2,-0.0033444157452322543,5.057820089161396,1.4548300057649612
17,-42.67724,9,0,4,-0.011740834219381213,6.418705902993679,1.4163136929273605
18,-32.25824,9,0,3,-0.030722091533243658,3.3875700026750564,1.4443191289901733
19,-40.039783,9,0,4,0.023682548974951107,3.6212629675865173,1.5122098724047344
20,-36.55505,9,0,3,0.04867933663938727,3.869322125400816,1.4887431519372123
21,-44.55755,9,0,4,-0.047779458441904614,3.552217483520508,1.5118586335863387
22,-41.727676,9,0,4,0.0361498836427927,3.9386197924613953,1.562017560005188
23,-36.314728,9,0,4,-0.027722491649910808,1.88090780377388,1.5295381546020508
24,-33.727333,9,0,3,0.010871080495417119,4.350344151258469,1.4796605944633483
25,-35.6336,9,0,3,-0.012265758419578726,2.253740578889847,1.4234112284400247
26,-31.939774,9,0,3,-0.00988571964100831,2.628302527798547,1.5509470701217651
27,-36.999115,9,0,4,-0.04757904509703318,3.1420766943030887,1.5214996470345392
28,-47.495895,9,0,4,0.09922459423542022,9.029356220364571,1.2790756225585938
29,-42.494724,9,0,4,0.018479872727766633,3.1131687462329865,1.1564347967505455
30,-40.64631,9,0,4,-0.005067337614794572,2.5937856833140054,1.2284180919329326
31,-31.90842,9,0,2,0.006894715846731112,1.6026231520451033,1.3277067954723651
32,-40.45,9,0,3,0.03064553886651993,3.9382181763648987,1.3670097231864928
33,-40.810986,9,0,3,0.027306751860305668,4.720601361989975,1.5301363706588744
34,-37.673313,9,0,4,-0.02811980084516108,3.11097639426589,1.557358294725418
35,-32.65953,9,0,3,-0.051017224136739966,2.69832978695631,1.5032986760139466
36,-37.198154,9,0,3,0.008213798329234124,3.4340419083833695,1.4312183380126953
37,-38.303978,9,0,4,0.026280495084144852,1.7805640054020015,1.3650448755784468
38,-37.51474,9,0,2,0.02590852454304695,7.699099826812744,1.4422117233276368
39,-26.689037,9,0,3,-0.01658989768475294,0.5034524838750561,1.4271706938743591
40,-28.243893,9,0,2,0.028794539375947073,2.042054340816461,1.4478637713652391
41,-41.08637,9,0,4,0.013045192030923707,6.375503330358437,1.507233738899231
