episode,episode_reward,best_reward,cpu_level,agent_stock,cpu_stock
1,-33.24874,-33.24874,5,0,3
3,-26.989304,-26.989304,5,0,2
8,-24.010025,-24.010025,5,0,2
10,-20.834665,-20.834665,5,0,2
50,-15.4453125,-15.4453125,5,0,2
135,-14.846886,-14.846886,5,0,1
148,-14.617985,-14.617985,5,0,2
196,-10.814387,-10.814387,5,0,1
